voornaam,familienaam,geslacht,geboortedatum,klasgroep
Rolf,Cacacie,Male,8/4/2000,1MCT2
Ciel,McColm,Female,10/2/2000,1MCT6
Ciel,McColm,Female,10/2/2000,1MCT6
Hallie,Nodes,Female,5/3/2000,1MCT1
Bendick,Primrose,Male,5/26/2000,1MCT3
Venita,Tudbald,Female,4/17/2000,1MCT3
Frasco,Pentelo,Male,5/1/2000,1MCT3
Hallie,Nodes,Female,5/3/2000,1MCT1
Ciel,McColm,Female,10/2/2000,1MCT6
Frasco,Pentelo,Male,5/1/2000,1MCT3
Venita,Tudbald,Female,4/17/2000,1MCT3
Frasco,Pentelo,Male,5/1/2000,1MCT3
Venita,Tudbald,Female,4/17/2000,1MCT3
Frasco,Pentelo,Male,5/1/2000,1MCT3
Collie,Smitherman,Female,3/15/2001,1MCT1
Lemuel,Pedersen,Male,1/27/2001,1MCT4
Jory,Pigeon,Male,12/20/2001,1MCT1
Malanie,Castiglioni,Female,1/9/1999,1MCT6
Annemarie,McWhinnie,Female,7/31/1999,1MCT1
Cornie,Creedland,Female,1/21/2001,1MCT4
Daron,Silvester,Male,11/23/2000,1MCT1
Olly,Cudbird,Female,11/20/2001,1MCT5
Frasco,Pentelo,Male,5/1/2000,1MCT3
Collie,Smitherman,Female,3/15/2001,1MCT1
Ciel,McColm,Female,10/2/2000,1MCT6
Malanie,Castiglioni,Female,1/9/1999,1MCT6
Felike,Chislett,Male,1/21/1999,1MCT1
Cornie,Creedland,Female,1/21/2001,1MCT4
Ciel,McColm,Female,10/2/2000,1MCT6
Felike,Chislett,Male,1/21/1999,1MCT1
Frasco,Pentelo,Male,5/1/2000,1MCT3
Rob,Haslam,Male,4/9/2000,1MCT4
Felice,Haversham,Male,8/7/2000,1MCT3
Bert,Blampy,Male,2/29/2000,1MCT3
Jory,Pigeon,Male,12/20/2001,1MCT1
Hallie,Nodes,Female,5/3/2000,1MCT1
Leonard,Halkyard,Male,4/5/2001,1MCT2
Felike,Chislett,Male,1/21/1999,1MCT1
Jason,Dendon,Male,10/20/1999,1MCT3
Lemuel,Pedersen,Male,1/27/2001,1MCT4
Ulises,Turnbull,Male,8/24/2000,1MCT2
Wandie,Wickling,Female,1/25/1999,1MCT5
Briano,Beevor,Male,2/11/2001,1MCT1
Ciel,McColm,Female,10/2/2000,1MCT6
Ulises,Turnbull,Male,8/24/2000,1MCT2
Doti,Start,Female,6/5/1999,1MCT1
Felice,Haversham,Male,8/7/2000,1MCT3
Malanie,Castiglioni,Female,1/9/1999,1MCT6
Skipton,Dzenisenka,Male,5/29/2001,1MCT2
Jason,Dendon,Male,10/20/1999,1MCT3
Bendick,Primrose,Male,5/26/2000,1MCT3
Margarethe,Lampet,Female,4/11/2001,1MCT4
Yolanda,Verbeke,Female,8/16/2000,1MCT4
Will,Threadkell,Male,7/30/1999,1MCT3
Malachi,Sheen,Male,3/30/1999,1MCT3
Ignatius,Oldroyde,Male,11/17/2000,1MCT2
Cornie,Creedland,Female,1/21/2001,1MCT4
Adi,Caulcutt,Female,3/12/2001,1MCT1
Adi,Caulcutt,Female,3/12/2001,1MCT1
Adi,Caulcutt,Female,3/12/2001,1MCT1
Ignatius,Oldroyde,Male,11/17/2000,1MCT2
Morie,Mityakov,Male,2/3/1999,1MCT5
Gianna,Compston,Female,10/11/1999,1MCT2
Ulises,Turnbull,Male,8/24/2000,1MCT2
Karlie,Stickland,Female,6/14/2000,1MCT4
Berton,Bulleyn,Male,7/15/1999,1MCT1
Frasco,Pentelo,Male,5/1/2000,1MCT3
Rowland,Tonkin,Male,9/14/1999,1MCT3
Daron,Silvester,Male,11/23/2000,1MCT1
Ariel,Tyzack,Male,8/15/2000,1MCT3
Ignatius,Oldroyde,Male,11/17/2000,1MCT2
Bernadina,Danshin,Female,3/13/2001,1MCT1
Ulises,Turnbull,Male,8/24/2000,1MCT2
Tanitansy,Wadeson,Female,8/13/2000,1MCT4
Barnaby,Capel,Male,3/21/2000,1MCT5
Dulcie,Illes,Female,8/11/1999,1MCT3
Yolanda,Verbeke,Female,8/16/2000,1MCT4
Rolf,Cacacie,Male,8/4/2000,1MCT2
Morie,Mityakov,Male,2/3/1999,1MCT5
Georgie,Crankshaw,Female,9/20/2001,1MCT5
Robinett,Galton,Female,6/5/1999,1MCT3
Felice,Haversham,Male,8/7/2000,1MCT3
Jeth,Wisam,Male,2/13/2001,1MCT2
Ben,Lafond,Male,11/5/1999,1MCT3
Leticia,Hunnam,Female,4/22/2001,1MCT3
Skipton,Dzenisenka,Male,5/29/2001,1MCT2
Lianna,Schuster,Female,6/20/1999,1MCT5
Bruno,Molyneaux,Male,8/29/2000,1MCT6
Karlie,Stickland,Female,6/14/2000,1MCT4
Yolanda,Verbeke,Female,8/16/2000,1MCT4
Noreen,Crayke,Female,10/24/2001,1MCT6
Daron,Silvester,Male,11/23/2000,1MCT1
Elicia,Riedel,Female,8/3/2000,1MCT3
Nollie,Macklam,Male,1/15/1999,1MCT6
Dolli,Kime,Female,9/8/2000,1MCT3
Leticia,Hunnam,Female,4/22/2001,1MCT3
Suzie,Wickenden,Female,12/16/2001,1MCT2
Nev,McCallum,Male,1/23/2001,1MCT4
Suzie,Wickenden,Female,12/16/2001,1MCT2
Zelma,MacAnellye,Female,5/8/2001,1MCT5
Kean,Hamman,Male,1/7/1999,1MCT3
Sebastian,Lowe,Male,6/17/2001,1MCT4
Griffie,Salkeld,Male,11/25/2001,1MCT4
Ciel,McColm,Female,10/2/2000,1MCT6
Elicia,Riedel,Female,8/3/2000,1MCT3
Jory,Pigeon,Male,12/20/2001,1MCT1
Hallie,Nodes,Female,5/3/2000,1MCT1
Berry,Ovey,Female,5/31/2000,1MCT3
Eduard,Skehan,Male,3/30/1999,1MCT3
Cornie,Creedland,Female,1/21/2001,1MCT4
Rob,Haslam,Male,4/9/2000,1MCT4
Ursala,Wiggett,Female,8/15/2000,1MCT6
Ginni,Charpling,Female,8/20/2001,1CTAI2
Ginni,Charpling,Female,8/20/2001,1CTAI2
Ginni,Charpling,Female,8/20/2001,1CTAI2
Haleigh,Badini,Female,7/14/2000,1CTAI1
Humberto,Cleve,Male,2/13/2000,1CTAI1
Humberto,Cleve,Male,2/13/2000,1CTAI1
Haleigh,Badini,Female,7/14/2000,1CTAI1
Jillian,Ganford,Female,2/28/2001,1CTAI1
Shandee,Lawlings,Female,5/31/2000,1CTAI1
Shandee,Lawlings,Female,5/31/2000,1CTAI1
Shandee,Lawlings,Female,5/31/2000,1CTAI1
Joice,Ventom,Female,4/18/1999,1CTAI1
Henka,Bunner,Female,11/7/2000,1CTAI1
Roana,Cumberpatch,Female,9/25/2000,1CTAI1
Joice,Ventom,Female,4/18/1999,1CTAI1
Henka,Bunner,Female,11/7/2000,1CTAI1
Jillian,Ganford,Female,2/28/2001,1CTAI1
Shandee,Lawlings,Female,5/31/2000,1CTAI1
Merilee,Sleightholme,Female,5/30/2000,1CTAI1
Kip,Antliff,Female,4/5/1999,1CTAI2
Burnard,Capaldi,Male,6/27/2000,1CTAI1
Hervey,Sirette,Male,1/18/2000,1CTAI2
Roana,Cumberpatch,Female,9/25/2000,1CTAI1
Shandee,Lawlings,Female,5/31/2000,1CTAI1
Shandee,Lawlings,Female,5/31/2000,1CTAI1
Jillian,Ganford,Female,2/28/2001,1CTAI1
Hillary,Hundall,Female,5/17/1999,1CTAI2
Joice,Ventom,Female,4/18/1999,1CTAI1
Reinold,Phillins,Male,10/31/1999,1CTAI2
Katrina,Lavers,Female,5/23/1999,1CTAI2
Michele,Lightning,Male,7/21/2001,1CTAI2
Reinold,Phillins,Male,10/31/1999,1CTAI2
Roana,Cumberpatch,Female,9/25/2000,1CTAI1
Merilee,Sleightholme,Female,5/30/2000,1CTAI1
Aviva,Greet,Female,3/19/1999,1CTAI2
Humberto,Cleve,Male,2/13/2000,1CTAI1
Hervey,Sirette,Male,1/18/2000,1CTAI2
Katrina,Lavers,Female,5/23/1999,1CTAI2
Elvin,Tether,Male,1/12/2000,1CTAI2
Haleigh,Badini,Female,7/14/2000,1CTAI1
Gabrila,Zimmerman,Female,7/8/1999,1CTAI2
Muffin,McKennan,Female,3/13/2001,1CTAI2
Elvin,Tether,Male,1/12/2000,1CTAI2
Ginni,Charpling,Female,8/20/2001,1CTAI2
Aloisia,Tregoning,Female,12/20/1999,1CTAI2
Augie,Holme,Male,7/3/2001,1CTAI1
Augie,Holme,Male,7/3/2001,1CTAI1
Rafaela,Pinn,Female,5/11/2000,1CTAI2
